class,f1_score,precision,recall,support
apple_pie,0.74,0.77,0.72,250.0
baby_back_ribs,0.86,0.86,0.86,250.0
baklava,0.92,0.9,0.94,250.0
beef_carpaccio,0.94,0.95,0.93,250.0
beef_tartare,0.85,0.89,0.82,250.0
beet_salad,0.82,0.81,0.82,249.0
beignets,0.89,0.89,0.9,249.0
bibimbap,0.96,0.98,0.93,250.0
bread_pudding,0.77,0.79,0.75,250.0
breakfast_burrito,0.84,0.87,0.82,249.0
bruschetta,0.85,0.86,0.84,250.0
caesar_salad,0.92,0.9,0.95,250.0
cannoli,0.94,0.97,0.92,249.0
caprese_salad,0.89,0.86,0.92,249.0
carrot_cake,0.85,0.86,0.85,248.0
ceviche,0.8,0.8,0.81,250.0
cheese_plate,0.93,0.93,0.93,250.0
cheesecake,0.8,0.83,0.77,247.0
chicken_curry,0.84,0.87,0.8,249.0
chicken_quesadilla,0.9,0.9,0.89,249.0
chicken_wings,0.94,0.94,0.95,250.0
chocolate_cake,0.77,0.74,0.8,249.0
chocolate_mousse,0.74,0.7,0.78,249.0
churros,0.95,0.93,0.97,250.0
clam_chowder,0.92,0.9,0.93,250.0
club_sandwich,0.92,0.92,0.92,250.0
crab_cakes,0.85,0.88,0.83,250.0
creme_brulee,0.92,0.91,0.94,249.0
croque_madame,0.92,0.91,0.94,249.0
cup_cakes,0.91,0.9,0.92,250.0
deviled_eggs,0.95,0.96,0.95,250.0
donuts,0.89,0.88,0.91,250.0
dumplings,0.92,0.92,0.92,250.0
edamame,0.98,0.97,0.99,250.0
eggs_benedict,0.93,0.94,0.92,249.0
escargots,0.93,0.91,0.94,249.0
falafel,0.87,0.88,0.85,250.0
filet_mignon,0.73,0.73,0.73,249.0
fish_and_chips,0.92,0.9,0.93,250.0
foie_gras,0.79,0.79,0.79,249.0
french_fries,0.94,0.92,0.96,250.0
french_onion_soup,0.88,0.85,0.92,250.0
french_toast,0.87,0.89,0.86,249.0
fried_calamari,0.9,0.91,0.9,250.0
fried_rice,0.92,0.93,0.92,249.0
frozen_yogurt,0.93,0.89,0.97,250.0
garlic_bread,0.86,0.86,0.86,250.0
gnocchi,0.82,0.81,0.83,243.0
greek_salad,0.9,0.93,0.88,250.0
grilled_cheese_sandwich,0.87,0.88,0.87,249.0
grilled_salmon,0.85,0.85,0.85,249.0
guacamole,0.95,0.95,0.94,250.0
gyoza,0.91,0.89,0.93,250.0
hamburger,0.88,0.91,0.85,250.0
hot_and_sour_soup,0.93,0.92,0.95,250.0
hot_dog,0.91,0.9,0.91,250.0
huevos_rancheros,0.81,0.86,0.76,248.0
hummus,0.87,0.89,0.84,248.0
ice_cream,0.82,0.9,0.75,250.0
lasagna,0.85,0.9,0.8,247.0
lobster_bisque,0.92,0.9,0.94,250.0
lobster_roll_sandwich,0.96,0.97,0.95,250.0
macaroni_and_cheese,0.89,0.89,0.89,246.0
macarons,0.97,0.97,0.96,250.0
miso_soup,0.94,0.93,0.96,250.0
mussels,0.93,0.92,0.94,250.0
nachos,0.89,0.92,0.86,250.0
omelette,0.84,0.86,0.83,250.0
onion_rings,0.92,0.93,0.91,250.0
oysters,0.95,0.93,0.97,250.0
pad_thai,0.94,0.92,0.96,250.0
paella,0.9,0.91,0.9,250.0
pancakes,0.9,0.9,0.91,249.0
panna_cotta,0.84,0.83,0.84,250.0
peking_duck,0.92,0.89,0.94,250.0
pho,0.93,0.9,0.97,249.0
pizza,0.95,0.95,0.95,249.0
pork_chop,0.68,0.71,0.65,250.0
poutine,0.93,0.93,0.94,250.0
prime_rib,0.81,0.73,0.9,250.0
pulled_pork_sandwich,0.88,0.86,0.9,250.0
ramen,0.91,0.94,0.88,250.0
ravioli,0.82,0.83,0.8,250.0
red_velvet_cake,0.91,0.9,0.92,250.0
risotto,0.82,0.81,0.84,246.0
samosa,0.91,0.91,0.9,249.0
sashimi,0.92,0.9,0.94,250.0
scallops,0.84,0.83,0.85,247.0
seaweed_salad,0.96,0.96,0.96,250.0
shrimp_and_grits,0.85,0.88,0.82,249.0
spaghetti_bolognese,0.97,0.98,0.97,249.0
spaghetti_carbonara,0.97,0.97,0.98,249.0
spring_rolls,0.9,0.92,0.89,250.0
steak,0.61,0.64,0.57,249.0
strawberry_shortcake,0.88,0.85,0.92,250.0
sushi,0.91,0.92,0.91,250.0
tacos,0.87,0.88,0.87,250.0
takoyaki,0.94,0.94,0.94,250.0
tiramisu,0.85,0.85,0.86,246.0
tuna_tartare,0.78,0.76,0.81,250.0
waffles,0.92,0.92,0.93,250.0
